구 별,5대범죄,인구수
 미추홀구,8945,418494.0
강화군,768,70037.0
계양구,5379,306817.0
남동구,10645,545131.0
부평구,11382,526126.0
서구,7757,557415.0
연수구,4901,379727.0
중구,4340,225538.0
